kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil
BONDOWOSO,517741,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,4.0,3921.13,Kabupaten Jember,"1,74",0.333,1797.474117625912,68
GRESIK,536544,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,1.0,26825.51,Kota Surabaya,3.16,0.363,911.8325102149582,341
GRESIK,536544,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,2.0,27189.86,Kota Surabaya,4.89,0.363,884.9393204451218,351
GRESIK,536544,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,3.0,27480.14,Kota Surabaya,6.91,0.363,1515.7131948340789,368
GRESIK,536544,77.62,11.06,7.84,4372030.51,1335.5,1.02,3.24,1092.0,101.4,2022,4.0,27301.37,Kota Surabaya,6.59,0.363,1831.6274499827343,402
GRESIK,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,1.0,27814.28,Kota Surabaya,6.3,0.33,1671.2253865179853,432
GRESIK,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,2.0,28657.1,Kota Surabaya,4.91,0.33,1501.6502669810627,500
GRESIK,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,3.0,28557.48,Kota Surabaya,3.14,0.33,1387.3831171325658,272
GRESIK,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,4.0,28796.56,Kota Surabaya,3.03,0.33,1035.3771845903275,274
GRESIK,608828,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,1.0,29253.93,Kota Surabaya,2.99,0.322,1781.0775504014275,281
GRESIK,608828,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,2.0,29819.85,Kota Surabaya,2.35,0.322,1231.4888307393978,281
GRESIK,608828,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,3.0,30220.45,Kota Surabaya,1.65,0.322,1399.4889753217008,302
GRESIK,608828,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,4.0,29980.19,Kota Surabaya,"1,38",0.322,1890.3408026750585,878
JEMBER,400961,69.8,9.39,4.06,2355662.91,2568.6,0.71,6.24,803.0,99.35,2022,1.0,13360.61,Kabupaten Jember,2.87,0.301,339.15773420479303,213
